x,y,dot,cross,angleDeg,t,qx,qy,bestCoordonatesx,bestCoordonatesy
14.9897,45.7968,0.0443825,-8.60175e-05,-0.111044,188,129,108,14.9897,45.7968
15.0864,45.9837,0.0441872,-8.59278e-05,-0.111419,189,129,108,15.0864,45.9837
15.1833,46.17,0.0439925,-8.58384e-05,-0.111796,190,129,108,15.1833,46.17
15.2803,46.3557,0.0437985,-8.57492e-05,-0.112174,191,129,108,15.2803,46.3557
15.3774,46.5408,0.0436051,-8.56604e-05,-0.112555,192,129,108,15.3774,46.5408
15.4748,46.7253,0.0434124,-8.55718e-05,-0.112938,193,129,108,15.4748,46.7253
15.5722,46.9092,0.0432204,-8.54835e-05,-0.113322,194,129,108,15.5722,46.9092
15.6698,47.0925,0.0430291,-8.53956e-05,-0.113709,195,129,108,15.6698,47.0925
15.7676,47.2752,0.0428384,-8.53079e-05,-0.114098,196,129,108,15.7676,47.2752
15.8655,47.4573,0.0426484,-8.52204e-05,-0.114489,197,129,108,15.8655,47.4573
15.9635,47.6388,0.0424591,-8.51333e-05,-0.114882,198,129,108,15.9635,47.6388
16.0617,47.8197,0.0422704,-8.50465e-05,-0.115277,199,129,108,16.0617,47.8197
16.16,48,0.0420824,-8.496e-05,-0.115674,200,129,108,16.16,48
16.2585,48.1797,0.0418951,-8.48737e-05,-0.116073,201,129,108,16.2585,48.1797
16.3571,48.3588,0.0417085,-8.47877e-05,-0.116475,202,129,108,16.3571,48.3588
16.4558,48.5373,0.0415225,-8.4702e-05,-0.116878,203,129,108,16.4558,48.5373
16.5547,48.7152,0.0413371,-8.46167e-05,-0.117284,204,129,108,16.5547,48.7152
16.6538,48.8925,0.0411525,-8.45316e-05,-0.117691,205,129,108,16.6538,48.8925
16.753,49.0692,0.0409685,-8.44467e-05,-0.118101,206,129,108,16.753,49.0692
16.8523,49.2453,0.0407851,-8.43622e-05,-0.118514,207,129,108,16.8523,49.2453
